0~1~2~3~4~5~6~7~8~9~10~11~12~13
row-gewh-iisi.e355~00000000-0000-0000-1A4C-4A2C91431BDA~0~1611502581~~1611502581~~{ }~2020-03-01T00:00:00~Albany~0~0~0~0
"row-qvfi~793g~bmpd"~00000000-0000-0000-AB30-C674993BF69B~0~1611502581~~1611502581~~{ }~2020-03-02T00:00:00~Albany~0~0~0~0
"row-umvk~xsw8.y6dz"~00000000-0000-0000-22B1-3F7F2F5F2F98~0~1611502581~~1611502581~~{ }~2020-03-03T00:00:00~Albany~0~0~0~0
"row-b6rk~e2jv.favs"~00000000-0000-0000-02E5-1B37E2E32ACB~0~1611502581~~1611502581~~{ }~2020-03-04T00:00:00~Albany~0~0~0~0
"row-hjxu~j8fx.gvfd"~00000000-0000-0000-8889-2906F9B622D0~0~1611502581~~1611502581~~{ }~2020-03-05T00:00:00~Albany~0~0~3~3
"row-fycv~t7ht_k9rd"~00000000-0000-0000-D445-4DAB6B0EFE46~0~1611502581~~1611502581~~{ }~2020-03-06T00:00:00~Albany~0~0~0~3
"row-zr5y~9emr.x5m6"~00000000-0000-0000-9784-8DCAAD5D2621~0~1611502581~~1611502581~~{ }~2020-03-07T00:00:00~Albany~0~0~5~8
"row-q67k~g39h_b8ut"~00000000-0000-0000-FAAD-817C8F17E012~0~1611502581~~1611502581~~{ }~2020-03-08T00:00:00~Albany~0~0~2~10
row-6p72.sdf6-68qa~00000000-0000-0000-BF2B-1F39425E4F6D~0~1611502581~~1611502581~~{ }~2020-03-09T00:00:00~Albany~0~0~3~13
"row-yvkj-gy8z~e573"~00000000-0000-0000-8433-D7A3F4A795FC~0~1611502581~~1611502581~~{ }~2020-03-10T00:00:00~Albany~0~0~2~15
row-7mhz.hvv9_px9g~00000000-0000-0000-2581-C5AB1C8CAB60~0~1611502581~~1611502581~~{ }~2020-03-11T00:00:00~Albany~0~0~13~28
"row-7vyw-n7dx~a296"~00000000-0000-0000-5300-40C119CA53E9~0~1611502581~~1611502581~~{ }~2020-03-12T00:00:00~Albany~1~1~11~39
"row-25yy_h8ia~44t7"~00000000-0000-0000-DBBD-B1F61B753D7B~0~1611502581~~1611502581~~{ }~2020-03-13T00:00:00~Albany~2~3~26~65
"row-x4r6~vb6h-8r52"~00000000-0000-0000-DDD8-F66DA0631470~0~1611502581~~1611502581~~{ }~2020-03-14T00:00:00~Albany~3~6~108~173
row-cjxt-xhut_f6ve~00000000-0000-0000-30B5-670DC1088323~0~1611502581~~1611502581~~{ }~2020-03-15T00:00:00~Albany~6~12~108~281
row-mc7s.bd7p.ctdt~00000000-0000-0000-E006-E52C3A93D3A9~0~1611502581~~1611502581~~{ }~2020-03-16T00:00:00~Albany~11~23~140~421
row-7jqa.47ep-m44r~00000000-0000-0000-F226-2F3CD976E917~0~1611502581~~1611502581~~{ }~2020-03-17T00:00:00~Albany~13~36~267~688
"row-giq6~9bky-ubnt"~00000000-0000-0000-5663-8BD04FB0D08C~0~1611502581~~1611502581~~{ }~2020-03-18T00:00:00~Albany~7~43~331~1019
"row-hikb.ydwd~2m5b"~00000000-0000-0000-0504-74C93D614979~0~1611502581~~1611502581~~{ }~2020-03-19T00:00:00~Albany~18~61~450~1469
row-ryka_fm27.i9ix~00000000-0000-0000-90AD-350E3844D651~0~1611502581~~1611502581~~{ }~2020-03-20T00:00:00~Albany~27~88~499~1968
"row-eyn2-c4be~e89m"~00000000-0000-0000-BAEE-6C0480D7BE24~0~1611502581~~1611502581~~{ }~2020-03-21T00:00:00~Albany~35~123~577~2545
"row-ggk7.vkfi~uygf"~00000000-0000-0000-B971-30A3D3DF505A~0~1611502581~~1611502581~~{ }~2020-03-22T00:00:00~Albany~4~127~197~2742
row-cm2j_esje_7mki~00000000-0000-0000-02B0-3DDA90D2D721~0~1611502581~~1611502581~~{ }~2020-03-23T00:00:00~Albany~19~146~144~2886
row-cggd-ihx2-kmvy~00000000-0000-0000-060A-4ECDA3B55B81~0~1611502581~~1611502581~~{ }~2020-03-24T00:00:00~Albany~6~152~198~3084
row-xqjf_rp6d-kvcq~00000000-0000-0000-478B-8A120CF4A1FD~0~1611502581~~1611502581~~{ }~2020-03-25T00:00:00~Albany~19~171~93~3177
row-pgi8-d264.2wpe~00000000-0000-0000-F285-E8916F120585~0~1611502581~~1611502581~~{ }~2020-03-26T00:00:00~Albany~16~187~112~3289
row-39pc.uhr7.pwvp~00000000-0000-0000-3A22-FB270CC9E81C~0~1611502581~~1611502581~~{ }~2020-03-27T00:00:00~Albany~8~195~101~3390
row-ndpx.kkwd_3ny2~00000000-0000-0000-51FD-A3E9CE01EEA4~0~1611502581~~1611502581~~{ }~2020-03-28T00:00:00~Albany~10~205~73~3463
row-8hu8.r3gs.44ip~00000000-0000-0000-F3F9-EAD56FBE234D~0~1611502581~~1611502581~~{ }~2020-03-29T00:00:00~Albany~12~217~61~3524
row-g6wc.3h9u-cekm~00000000-0000-0000-61E6-9FB7517E916F~0~1611502581~~1611502581~~{ }~2020-03-30T00:00:00~Albany~9~226~72~3596
row-ukig_5gf9.eux5~00000000-0000-0000-851A-FA543EC64A3B~0~1611502581~~1611502581~~{ }~2020-03-31T00:00:00~Albany~14~240~108~3704
row-fq4z_i3wy-dr8c~00000000-0000-0000-0A07-5316C2505C9A~0~1611502581~~1611502581~~{ }~2020-04-01T00:00:00~Albany~13~253~106~3810
"row-ny94~5txe.n8x4"~00000000-0000-0000-8FAA-86851391E658~0~1611502581~~1611502581~~{ }~2020-04-02T00:00:00~Albany~14~267~105~3915
"row-wfha~qkar-r2d9"~00000000-0000-0000-18D3-05179D6D3ACF~0~1611502581~~1611502581~~{ }~2020-04-03T00:00:00~Albany~26~293~123~4038
"row-xiw9-azkt~cq2z"~00000000-0000-0000-DDED-8A06EB83E316~0~1611502581~~1611502581~~{ }~2020-04-04T00:00:00~Albany~12~305~117~4155
"row-mafh.fqdj~ur6v"~00000000-0000-0000-5CBC-0E2A72A0ABFD~0~1611502581~~1611502581~~{ }~2020-04-05T00:00:00~Albany~14~319~89~4244
row-a7tn.tpav.vsax~00000000-0000-0000-0C83-85FBD3AC0431~0~1611502581~~1611502581~~{ }~2020-04-06T00:00:00~Albany~14~333~86~4330
"row-m6be.wegn~nr8q"~00000000-0000-0000-5BB5-2E802321ABC9~0~1611502581~~1611502581~~{ }~2020-04-07T00:00:00~Albany~9~342~74~4404
